Page,Name,Tool,Serve With,Replaceable Dependencies,Strict Dependencies
47,Flour Tortillas,grill,,,
49,Corn Tortillas,stove,,,
52,Collard Tortilla,,,,
55,Bright Baja Slaw,,,,
56,Tropical Ceviche,,"125, 49, 52",,
64,Euphoric Avocado Wedges,oven,,,
66,Zucchini Fritters,oven,,,
68a,Rewarding Esquites Mayo,,,,
68b,Rewarding Esquites,oven,112,,
70,Optimal Coconut-Roasted Acorn Squash,oven,,,
71,Grounding Sweet Potato Fries,oven,,,
74,Abundant Roasted Potatoes,oven,,,
78,Tolerant Bulgur Chorizo,stove,,,
80,Quick Chipotle Beans for Imperfect People,microwave,,,
82,Ion-Charged Refried Beans,stove,115,,
90,Blue Corn Chip-Crusted Tofu,oven,,,
92,Iridescent Fried Tofu,stove,,68a,
96,Wake and Shake Scramle,oven,"105, 120",,
102,Sincere Sriracha-Agave Tenders,oven,,127,
105,Foundational Tempeh Bacon,stove,,,
109,Revitalizing Taco Seitan,oven,,,
112,Artisan Seitan Strips,stove,131,109,
114,Salsa Roja,oven,"82, 49",,
115,Essential Pico De Gallo,,,,
118,Fruity Salsa,,,,
119,Creamy Jalapeno Salsa,oven,,,
120,"""Living"" Chipotle Sauce",,"96, 105",,
122,Cilantro-Avocado Tranquility Sauce,,,,
123,Soothing Jalapeno Ranch,,,,
124a,Tartar Sauce,,"90, 92",68a,
124b,Bright-Eyed Buffalo Sauce,,66,,
125,Cashew Crema,,,,
126b,Guacamole Viridis,,,,
127,Limitless Hummus,,,,
128,Minimalist Nacho Cheese,stove,,,
130,Elevated Nacho Cheese,stove,,,
131,SuperPure Country Gravy,stove,,,
134,High-Vibration Kale Chips,oven,102,,
145,Fish Taco,assemble,,47,"124a, 92, 55"
146,Tater Tot-Cho Tacos,"assemble, oven",,47,"78, 125, 126b"
158,"Supreme Bacon, Scramble and Cheese Tacos",assemble,,"49, 47, 105, 128, 130",96
159,Accelerated Breakfast Taco,assemble,,47,
162,Thankful Sweet Potato Pie Taco,"assemble, oven",,47,
